code	parameters	n	beta	nospins	time_fail	Hx	Hz
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	459815.10495751374	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	1468980.1496056109	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	1970004.359251576	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	4570374.894437216	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	5895485.07964157	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	1924846.0425803598	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	749571.2850711684	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	628730.6831022188	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	2406370.323350736	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
input-codes/13/code_102.txt	[13, 1, [3, 3]]	13	9.0	3621	1004201.0943817964	[0,1,1,1,0,1,1,0,1,1,1,0,0;1,1,0,0,0,1,0,0,1,1,0,0,1;0,0,0,1,0,1,0,0,0,0,1,0,0;1,1,0,1,1,0,0,0,0,1,1,0,1;0,1,0,0,1,1,1,0,1,1,0,1,0;1,0,0,0,0,1,1,1,0,0,1,1,0]	[0,1,1,1,0,0,0,0,0,0,1,1,1;0,1,0,0,1,1,1,1,1,1,1,0,0;0,0,1,1,0,1,1,0,0,0,0,0,1;0,1,0,0,0,0,0,0,0,1,0,0,0;1,0,1,0,1,1,0,0,1,0,1,1,1;1,1,0,1,0,1,1,0,0,0,0,1,1]
